p;ingresopcf;housingQ;Wlocation;ToiletDrain;ToiletShare;HHschooling;Wsource;ToiletFacility;children;OlderAdults;ActiveMembers;Overcrowding;WorkingHours;bToiletLoc;Hlandfill;Hfloodplain;Hshanty;kitchen;laundry;garage;bCookingFuel;MonetaryAids;GoodsAids;OtherAids;HHgender;MedicalCov;HHemployed;pondera;bWlocation;iv3;biv3;iv4;iv4new;biv5;bWsource;ToiletLoc;bToiletFacility;CookingFuel;bToiletShare
0;11250;1;1;1;1;2;1;1;0;1;1;2;0;1;1;1;1;1;1;0;1;1;1;1;0;1;0;335;1;1;1;9;9;1;1;1;1;1;1
0;27000;1;1;1;1;6;1;1;0;0;1;0.5;32;1;1;1;1;1;0;0;1;1;1;1;1;1;1;330;1;1;1;2;2;1;1;1;1;1;1
0;18000;1;1;1;1;6;1;1;0;0;1;0.33;0;1;1;1;1;1;1;0;1;1;1;1;0;1;0;172;1;1;1;9;9;1;1;1;1;1;1
0;16000;1;1;1;1;4;1;1;0;0;1;0.33;30;1;1;1;1;1;0;0;1;1;1;1;1;1;1;27;1;1;1;1;1;1;1;1;1;1;1
0;34000;1;1;1;1;6;1;1;0;1;1;0.67;40;1;1;1;1;1;1;0;1;1;1;1;1;1;1;335;1;1;1;9;9;1;1;1;1;1;1
0;10300;1;1;1;1;6;1;1;2;0;3;0.83;45;1;1;1;1;1;1;1;1;1;1;1;0;1;1;438;1;1;1;3;3;1;1;1;1;1;1
0;22300;1;1;1;1;6;1;1;0;2;0;0.5;15;1;1;1;1;1;1;0;1;1;1;1;0;1;1;172;1;1;1;1;1;1;1;1;1;1;1
0;53000;1;1;1;1;6;1;1;0;0;1;0.5;30;1;1;1;1;1;1;0;1;1;1;1;0;1;1;340;1;1;1;1;1;1;1;1;1;1;1
0;15000;1;1;1;1;5;1;1;0;0;1;0.25;24;1;1;1;1;1;1;0;1;1;1;1;1;1;1;415;1;1;1;9;9;1;1;1;1;1;1
0;46601;1;1;1;1;3;1;1;0;2;0;1;0;1;1;1;1;1;0;0;1;1;1;1;0;1;0;415;1;1;1;4;4;1;1;1;1;1;1
0;16000;1;1;1;1;6;1;1;0;0;1;0.33;50;1;1;1;1;1;0;0;1;1;1;1;0;1;1;362;1;1;1;9;9;1;1;1;1;1;1
0;7500;1;1;1;1;6;1;1;1;0;1;1;44;1;1;1;1;1;1;0;1;1;1;1;1;1;1;362;1;1;1;9;9;1;1;1;1;1;1
0;8100;1;1;1;1;6;1;1;0;0;5;0.83;40;1;1;1;1;1;1;0;1;1;1;1;0;1;1;149;1;1;1;2;2;1;1;1;1;1;1
0;14000;1;1;1;1;4;1;1;0;1;0;0.33;0;1;1;1;1;1;0;0;1;1;1;1;1;1;0;376;1;1;1;9;9;1;1;1;1;1;1
0;12000;1;1;1;1;5;1;1;0;0;4;1;48;1;1;1;1;1;0;0;1;1;1;1;0;1;1;432;1;1;1;1;1;1;1;1;1;1;1
0;6300;1;1;1;1;2;1;1;0;2;0;1;0;1;1;1;1;1;0;0;1;1;0;1;0;1;0;458;1;1;1;2;2;1;1;1;1;1;1
0;50000;1;1;1;1;6;1;1;0;1;1;0.5;0;1;1;1;1;1;1;0;1;1;1;1;0;1;0;376;1;1;1;1;1;1;1;1;1;1;1
1;2720;1;1;1;1;2;1;1;2;0;3;1.25;0;1;1;1;1;1;0;0;1;1;1;1;1;0;0;213;1;1;1;1;1;1;1;1;1;1;1
0;10750;1;1;1;1;6;1;1;0;1;3;1;25;1;1;1;1;1;1;0;1;1;1;1;0;1;1;223;1;1;1;2;2;1;1;1;1;1;1
1;3000;1;1;1;1;4;1;1;0;0;4;2;22;1;1;1;1;1;1;0;1;1;1;1;0;0;1;497;1;1;1;2;2;1;1;1;1;1;1
0;23150;1;1;1;1;6;1;1;0;1;1;0.67;50;1;1;1;1;1;0;0;1;1;1;1;1;1;1;485;1;1;1;9;9;1;1;1;1;1;1
0;15000;1;1;1;1;1;1;1;0;0;1;1;44;1;1;1;1;1;0;0;1;1;1;1;0;1;1;345;1;1;1;9;9;1;1;1;1;1;1
0;3722.86;1;1;1;1;7;1;1;2;1;4;2.33;0;1;1;1;1;1;0;0;1;0;1;1;1;1;0;17;1;1;1;1;1;1;1;1;1;1;1
0;9000;1;1;1;1;6;1;1;0;0;4;1;45;1;1;0;1;1;0;0;1;1;1;1;0;1;1;17;1;1;1;1;1;1;1;1;1;1;1
0;11500;1;1;1;1;3;2;1;0;0;2;0.67;60;1;1;1;1;1;0;0;1;1;1;1;0;1;1;165;1;1;1;4;4;1;0;1;1;1;1
1;3400;3;1;3;1;4;2;2;2;0;2;2;72;1;1;1;1;1;0;0;0;1;1;1;0;1;1;428;1;2;0;4;4;0;0;1;0;2;1
0;6666.67;1;1;1;1;2;1;1;0;0;3;1;48;1;1;1;1;1;1;0;1;1;1;1;1;1;1;183;1;1;1;2;2;1;1;1;1;1;1
0;4300;2;1;1;1;1;1;1;0;0;1;0.5;0;1;0;0;1;1;0;0;0;0;0;1;1;1;0;261;1;1;1;1;1;0;1;1;1;2;1
1;2416.67;2;1;2;1;3;2;2;4;0;2;3;0;1;1;1;0;1;0;0;0;0;1;1;1;0;0;397;1;2;0;4;4;1;0;1;0;2;1
0;6500;1;1;1;1;1;1;1;1;0;3;1;40;1;1;1;1;1;1;0;1;1;1;1;0;1;1;254;1;1;1;2;2;1;1;1;1;1;1
0;5800;1;2;2;1;4;2;2;0;2;0;1;0;1;1;1;1;1;1;1;0;1;1;1;0;1;0;121;0;1;1;1;1;1;0;1;0;2;1
0;8125;1;1;2;1;5;1;1;0;0;2;1;64;1;1;1;1;1;1;1;0;1;1;1;0;1;1;474;1;1;1;4;4;1;1;1;1;2;1
1;1777.78;2;1;1;1;5;1;1;3;0;6;2.25;20;1;1;1;1;1;0;0;1;1;1;1;0;0;1;235;1;2;0;4;4;1;1;1;1;1;1
0;10850;1;1;1;1;6;1;1;0;2;0;1;0;1;1;1;1;1;1;0;1;1;1;1;0;1;0;212;1;1;1;2;2;1;1;1;1;1;1
0;11000;1;1;1;1;5;1;1;0;1;0;0.5;0;1;1;1;1;1;0;1;1;1;1;1;1;1;0;412;1;1;1;1;1;1;1;1;1;1;1
1;1600;1;1;2;1;2;2;1;0;0;5;1.25;22;1;1;1;1;1;0;1;1;1;1;1;0;1;1;427;1;1;1;4;4;1;0;1;1;1;1
0;8325;1;1;1;1;5;1;1;0;0;4;1;49;1;1;1;1;1;0;0;1;1;1;1;0;1;1;475;1;1;1;2;2;1;1;1;1;1;1
0;21450;1;1;1;1;6;1;1;0;0;2;0.67;0;1;1;1;1;1;1;0;1;1;1;1;1;1;1;150;1;1;1;1;1;1;1;1;1;1;1
0;14000;1;1;1;1;4;1;1;0;0;2;0.67;35;1;1;1;1;1;0;0;1;1;1;1;1;1;1;385;1;1;1;2;2;1;1;1;1;1;1
0;12400;1;1;1;1;3;1;1;0;1;0;0.33;0;1;1;1;1;1;1;0;1;1;1;1;1;1;0;268;1;1;1;2;2;1;1;1;1;1;1
0;22000;1;1;1;1;6;1;1;0;0;2;1;40;1;1;1;1;1;0;0;1;1;1;1;0;1;1;244;1;1;1;1;1;1;1;1;1;1;1
